id,start_s,end_s,shift,duration_ms,response10_ms,ratio90_ms,pedal_start_pct,pedal_end_pct,input_start,input_end,output_start,output_end,engine_peak,request_min,request_max,net_torque_min,target_overshoot_rpm,phases_ms,longest_substate,longest_substate_ms,trace_events,forward,review
1,7.117,8.234,N/P->R2,1117,,,0.0,0.0,602,0,0,0,629,,,57,,"{""0"": 76, ""1"": 213, ""2"": 18, ""3"": 20, ""4"": 19, ""5"": 422, ""7"": 328, ""8"": 21}",5.0.0,422,1,False,Selector P_R/R; Completed; retain sequence pending separate OEM garage comparison
2,51.111,52.362,N/P->2,1251,,,0.0,18.4,0,95,0,0,663,,,75,,"{""0"": 57, ""1"": 209, ""2"": 20, ""3"": 20, ""4"": 20, ""5"": 577, ""7"": 329, ""8"": 19}",5.0.0,577,2,False,Selector N_D/D; Completed; retain sequence pending separate OEM garage comparison
3,52.381,53.372,2->1,991,,,18.4,35.2,113,401,0,95,1049,,,114,,"{""0"": 114, ""1"": 382, ""2"": 19, ""3"": 95, ""4"": 286, ""5"": 95}",4.1.0,267,3,True,Low-speed ratio response unavailable; use output/clutch signals
4,57.362,58.561,1->2,1199,438,704,37.6,36.0,2442,1759,616,727,2641,125,128,57,,"{""0"": 134, ""1"": 266, ""2"": 57, ""3"": 381, ""4"": 266, ""5"": 95}",4.1.0,247,4,True,No specific control failure established; retain as comparison shift
5,61.354,62.725,2->3,1371,627,932,42.0,41.6,2520,1772,1037,1189,2740,158,161,90,,"{""0"": 114, ""1"": 285, ""2"": 209, ""3"": 421, ""4"": 247, ""5"": 95}",4.1.0,228,5,True,No specific control failure established; retain as comparison shift
6,65.366,66.718,3->4,1352,628,876,30.8,22.8,2088,1441,1405,1433,2185,,,48,,"{""0"": 114, ""1"": 381, ""2"": 190, ""3"": 323, ""4"": 230, ""5"": 114}",4.1.0,211,6,True,Review fill/overlap delay; do not tune from existing slip-energy estimate
7,73.465,74.497,4->3,1032,517,689,0.0,0.0,706,776,708,523,672,,,27,1,"{""0"": 117, ""1"": 438, ""2"": 19, ""3"": 134, ""4"": 227, ""5"": 97}",1.1.0,248,7,True,No specific control failure established; retain as comparison shift
8,74.915,76.689,3->2,1774,744,1048,0.0,0.0,644,382,439,160,658,,,48,22,"{""0"": 116, ""1"": 1008, ""2"": 324, ""3"": 230, ""4"": 96}",1.5.3,419,8,True,Slow initial response; improve fill/release onset
9,76.708,77.926,2->1,1218,895,895,0.0,49.2,365,857,154,203,1411,157,188,81,70,"{""0"": 114, ""1"": 458, ""2"": 323, ""3"": 209, ""4"": 114}",2.1.0,304,9,True,Slow initial response; improve fill/release onset
10,80.586,81.899,1->2,1313,552,818,48.8,55.2,2741,2235,682,920,3149,209,214,135,,"{""0"": 134, ""1"": 266, ""2"": 152, ""3"": 438, ""4"": 209, ""5"": 114}",3.1.0,190,10,True,No specific control failure established; retain as comparison shift
11,83.457,86.297,2->3,2840,665,2422,66.8,44.8,2982,2355,1228,1580,3351,210,267,162,,"{""0"": 114, ""1"": 266, ""2"": 190, ""3"": 1966, ""4"": 209, ""5"": 95}",3.2.0,1738,11,True,"Long shift: correct sync pressure recovery; Long wait for sync; inspect pressure floor, PID and torque restoration"
