id,start_s,end_s,shift,duration_ms,response10_ms,ratio90_ms,pedal_start_pct,pedal_end_pct,input_start,input_end,output_start,output_end,engine_peak,request_min,request_max,net_torque_min,target_overshoot_rpm,phases_ms,longest_substate,longest_substate_ms,trace_events,forward,review
1,24.698,26.084,N/P->2,1386,,,0.0,18.8,514,0,110,0,671,,,54,,"{""0"": 57, ""1"": 212, ""2"": 19, ""3"": 19, ""4"": 19, ""5"": 731, ""7"": 310, ""8"": 19}",5.0.0,731,1,False,Selector N_D/D; Completed; retain sequence pending separate OEM garage comparison
2,26.103,27.226,2->1,1123,,,20.0,38.8,0,238,0,92,1120,,,117,,"{""1"": 1123}",1.1.0,684,2,True,Low-speed ratio response unavailable; use output/clutch signals
3,28.313,29.874,2->1,1561,497,744,43.6,40.0,643,1881,257,464,2048,123,164,57,89,"{""1"": 1561}",1.1.0,760,3,True,Fill/release dominates; coordinate MPC release and SPC rise as pedal increases
4,31.223,32.574,1->2,1351,399,722,35.6,40.0,2633,1936,665,792,2826,,,66,,"{""1"": 1351}",1.1.0,781,4,True,No specific control failure established; retain as comparison shift
5,35.025,36.47,2->3,1445,533,837,34.8,30.8,2492,1691,1033,1134,2623,,,78,,"{""1"": 1445}",1.1.0,891,5,True,No specific control failure established; retain as comparison shift
6,43.958,45.214,3->4,1256,496,686,0.0,0.0,1839,1185,1234,1190,1788,,,-60,,"{""1"": 1256}",1.1.0,744,6,True,No specific control failure established; retain as comparison shift
7,48.219,49.402,4->3,1183,534,704,0.0,0.0,705,685,702,459,674,,,18,6,"{""1"": 1183}",1.1.0,765,7,True,No specific control failure established; retain as comparison shift; Next downshift follows after 134 ms: judge total ladder response
8,49.536,51.332,3->2,1796,760,992,0.0,35.2,628,439,429,173,739,,,39,22,"{""1"": 1796}",1.1.0,727,8,True,Fill/release dominates; coordinate MPC release and SPC rise as pedal increases; Slow initial response; improve fill/release onset; Next downshift follows after 19 ms: judge total ladder response
9,51.351,53.006,2->1,1655,648,857,38.0,40.8,430,1293,174,309,1527,109,153,51,86,"{""1"": 1655}",1.1.0,741,9,True,Fill/release dominates; coordinate MPC release and SPC rise as pedal increases
10,55.4,56.731,1->2,1331,400,723,40.4,47.2,2591,1998,654,823,2857,148,149,69,,"{""1"": 1331}",1.1.0,741,10,True,No specific control failure established; retain as comparison shift
11,58.707,60.189,2->3,1482,608,950,45.2,46.4,2667,1819,1105,1228,2890,165,170,96,,"{""1"": 1482}",1.1.0,874,11,True,No specific control failure established; retain as comparison shift
12,69.385,71.077,3->4,1692,799,1084,44.0,44.0,2428,1678,1624,1669,2583,,,174,,"{""1"": 1692}",1.1.0,950,12,True,Slow initial response; improve fill/release onset; Review fill/overlap delay; do not tune from existing slip-energy estimate
13,85.861,87.004,4->5,1143,419,629,30.8,19.2,1935,1593,1922,1923,2039,,,21,,"{""1"": 1143}",1.1.0,665,13,True,No specific control failure established; retain as comparison shift
14,274.499,275.546,5->4,1047,401,686,0.0,0.0,893,1008,1080,1012,674,,,-21,8,"{""1"": 1047}",1.1.0,627,14,True,No specific control failure established; retain as comparison shift
15,277.698,278.857,4->3,1159,532,722,16.8,36.8,831,1208,825,809,1474,124,158,15,18,"{""1"": 1159}",1.1.0,741,15,True,No specific control failure established; retain as comparison shift
16,289.155,290.582,3->4,1427,723,970,38.0,42.4,2182,1536,1459,1526,2346,145,146,93,,"{""1"": 1427}",1.1.0,857,16,True,Slow initial response; improve fill/release onset; Review fill/overlap delay; do not tune from existing slip-energy estimate
17,294.802,295.771,4->5,969,361,551,16.0,0.0,1714,1401,1713,1684,1829,,,-48,,"{""1"": 969}",1.1.0,494,17,True,No specific control failure established; retain as comparison shift
18,304.38,305.426,5->4,1046,399,646,0.0,0.0,907,977,1088,973,670,,,-33,4,"{""1"": 1046}",1.1.0,609,18,True,No specific control failure established; retain as comparison shift
19,307.386,308.414,4->3,1028,513,686,0.0,0.0,694,844,696,570,689,,,-24,8,"{""1"": 1028}",1.1.0,608,19,True,No specific control failure established; retain as comparison shift; Next downshift follows after 914 ms: judge total ladder response
20,309.328,310.987,3->2,1659,706,972,0.0,16.0,642,631,437,259,670,,,3,22,"{""1"": 1659}",1.1.0,591,20,True,Fill/release dominates; coordinate MPC release and SPC rise as pedal increases; Slow initial response; improve fill/release onset; Next downshift follows after 19 ms: judge total ladder response
21,311.006,312.072,2->1,1066,420,629,19.6,33.2,639,1281,259,321,1533,149,177,36,180,"{""1"": 1066}",1.1.0,610,21,True,Turbine overshoot; taper release/sync torque with latency compensation
22,313.706,314.887,1->2,1181,381,704,38.8,42.4,2485,1932,624,794,2791,140,143,78,,"{""1"": 1181}",1.1.0,610,22,True,No specific control failure established; retain as comparison shift
23,316.464,317.704,2->3,1240,479,802,42.8,35.2,2557,1790,1055,1196,2778,133,134,69,,"{""1"": 1240}",1.1.0,669,23,True,No specific control failure established; retain as comparison shift
24,320.041,321.259,3->4,1218,534,762,23.6,23.6,1995,1371,1340,1367,2075,,,42,,"{""1"": 1218}",1.1.0,724,24,True,Review fill/overlap delay; do not tune from existing slip-energy estimate
25,332.895,333.921,4->3,1026,494,684,0.0,0.0,705,797,703,537,681,,,-9,0,"{""1"": 1026}",1.1.0,608,25,True,No specific control failure established; retain as comparison shift; Next downshift follows after 589 ms: judge total ladder response
26,334.51,336.185,3->2,1675,665,915,0.0,0.0,645,558,438,230,669,,,12,26,"{""1"": 1675}",1.1.0,608,26,True,Fill/release dominates; coordinate MPC release and SPC rise as pedal increases; Next downshift follows after 19 ms: judge total ladder response
